"stage","cell_id","target","old_H","corrected_H","absolute_old_corrected_difference","maximum_pair_transport_difference","maximum_conservation_error","minimum_positive_marginal_mass","minimum_positive_cross_cdf_gap","exact_cross_cdf_equalities","risk_residual_count","locked_H","locked_absolute_difference"
"pilot","P14-C006","cluster",0.281082121695237,0.281082121695237,0,0,2.22044604925031e-16,0.13379444844934,0.00198894511940939,0,0,0.281082121695237,1.11022302462516e-16
"pilot","P14-C007","respondent",0.279306686563125,0.279306686563125,0,0,2.22044604925031e-16,0.129039067164271,3.26075871860398e-05,0,0,0.279306686563125,1.11022302462516e-16
"pilot","P14-C007","cluster",0.279737009119098,0.279737009119098,0,0,2.22044604925031e-16,0.121436083602153,3.27632582632909e-05,0,0,0.279737009119098,3.88578058618805e-16
"pilot","P14-C008","respondent",0.472129190613405,0.472129190613405,0,0,2.22044604925031e-16,0.0865786089767287,0.000356822547415536,0,0,0.472129190613404,6.10622663543836e-16
"pilot","P14-C008","cluster",0.472129190613405,0.472129190613405,0,0,2.22044604925031e-16,0.0865786089767287,0.000356822547415536,0,0,0.472129190613404,6.10622663543836e-16
"pilot","P14-C009","respondent",0.11743975074426,0.11743975074426,0,0,2.22044604925031e-16,0.11461465174688,0.11461465174688,40,0,0.11743975074426,5.55111512312578e-17
"pilot","P14-C009","cluster",0.11743975074426,0.11743975074426,0,0,2.22044604925031e-16,0.11461465174688,0.11461465174688,40,0,0.11743975074426,5.55111512312578e-17
"pilot","P14-C010","respondent",0.117439750744257,0.117439750744257,0,0,0,0.11461465174688,0.11461465174688,40,0,0.117439750744257,2.63677968348475e-16
"pilot","P14-C010","cluster",0.117439750744257,0.117439750744257,0,0,0,0.11461465174688,0.11461465174688,40,0,0.117439750744257,2.63677968348475e-16
"pilot","P14-C011","respondent",0.281082121695226,0.281082121695226,0,0,2.22044604925031e-16,0.133794448449337,0.001988945119411,0,0,0.281082121695225,4.9960036108132e-16
"pilot","P14-C011","cluster",0.281082121695226,0.281082121695226,0,0,2.22044604925031e-16,0.133794448449337,0.001988945119411,0,0,0.281082121695225,4.9960036108132e-16
"pilot","P14-C012","respondent",0.465434869451904,0.465434869451904,0,0,3.33066907387547e-16,0.0917435779486317,3.46282162736189e-05,0,0,0.465434869451903,8.88178419700125e-16
"pilot","P14-C012","cluster",0.470076218784656,0.470076218784656,0,0,0,0.0755548457373181,3.6937977584417e-05,0,0,0.470076218784656,5.55111512312578e-17
"pilot","P14-C013","respondent",0.457956278529404,0.457956278529404,0,0,1.11022302462516e-16,0.186848669275828,0.20038181291786,40,0,0.457956278529402,1.49880108324396e-15
"pilot","P14-C013","cluster",0.457956278529404,0.457956278529404,0,0,1.11022302462516e-16,0.186848669275828,0.20038181291786,40,0,0.457956278529402,1.49880108324396e-15
"pilot","P14-C014","respondent",0.117938379365222,0.117938379365222,0,0,0,0.0943725536082069,0.0027030626710034,0,0,0.117938379365222,3.46944695195361e-16
"pilot","P14-C014","cluster",0.119245350705484,0.119245350705484,0,0,0,0.0949606546830566,0.00181790328940201,0,0,0.119245350705484,2.63677968348475e-16
"pilot","P14-C015","respondent",0.279737009112224,0.279737009112224,0,0,1.11022302462516e-16,0.121436083598588,3.27632582637349e-05,0,0,0.279737009112224,4.9960036108132e-16
"pilot","P14-C015","cluster",0.279737009112224,0.279737009112224,0,0,1.11022302462516e-16,0.121436083598588,3.27632582637349e-05,0,0,0.279737009112224,4.9960036108132e-16
"pilot","P14-C016","respondent",0.274200449131174,0.274200449131174,0,0,1.11022302462516e-16,0.168849025353985,0.168849025353985,40,0,0.274200449131174,5.55111512312578e-17
"pilot","P14-C016","cluster",0.274953103514226,0.274953103514226,0,0,0,0.16875421688311,0.16875421688311,40,0,0.274953103514226,2.77555756156289e-16
"pilot","P14-C017","respondent",0.470076218787707,0.470076218787707,0,0,1.11022302462516e-16,0.0755548457417122,3.69379775837508e-05,0,0,0.470076218787706,5.55111512312578e-16
"pilot","P14-C017","cluster",0.470076218787707,0.470076218787707,0,0,1.11022302462516e-16,0.0755548457417122,3.69379775837508e-05,0,0,0.470076218787706,5.55111512312578e-16
"pilot","P14-C018","respondent",0.119245350705482,0.119245350705482,0,0,2.22044604925031e-16,0.0949606546830565,0.00181790328940135,0,0,0.119245350705482,0
"pilot","P14-C018","cluster",0.119245350705482,0.119245350705482,0,0,2.22044604925031e-16,0.0949606546830565,0.00181790328940135,0,0,0.119245350705482,0
"training","P15-T001","respondent",0.0958528666282834,0.0958528666282834,0,0,2.22044604925031e-16,0.0889842968963942,0.00135402169786492,0,0,NA,NA
"training","P15-T001","cluster",0.0958528666282834,0.0958528666282834,0,0,2.22044604925031e-16,0.0889842968963942,0.00135402169786492,0,0,NA,NA
"training","P15-T002","respondent",0.263395145993573,0.263395145993573,0,0,0,0.130569454382785,3.24414782377769e-05,0,0,NA,NA
"training","P15-T002","cluster",0.263395145993573,0.263395145993573,0,0,0,0.130569454382785,3.24414782377769e-05,0,0,NA,NA
"training","P15-T003","respondent",0.438444740859688,0.438444740859688,0,0,0,0.168826491826603,0.189753425810579,40,0,NA,NA
"training","P15-T003","cluster",0.444515812646526,0.444515812646526,0,0,2.22044604925031e-16,0.190108184635014,0.198592979898686,40,0,NA,NA
"training","P15-T004","respondent",0.468098695863692,0.468098695863692,0,0,2.22044604925031e-16,0.0239264338774333,0.0153306771170059,0,0,NA,NA
"training","P15-T004","cluster",0.468879030328686,0.468879030328686,0,0,2.22044604925031e-16,0.0265760750369932,0.0141759712084774,0,0,NA,NA
"training","P15-T005","respondent",0.10018333383792,0.10018333383792,0,0,2.22044604925031e-16,0.111799411105558,1.93915947650503e-05,0,0,NA,NA
"training","P15-T005","cluster",0.10018333383792,0.10018333383792,0,0,2.22044604925031e-16,0.111799411105558,1.93915947650503e-05,0,0,NA,NA
"training","P15-T006","respondent",0.264595907341568,0.264595907341568,0,0,2.22044604925031e-16,0.135881649209349,0.00083551064554005,0,0,NA,NA
"training","P15-T006","cluster",0.264595907341568,0.264595907341568,0,0,2.22044604925031e-16,0.135881649209349,0.00083551064554005,0,0,NA,NA
"training","P15-T007","respondent",0.271143404037731,0.271143404037731,0,0,2.22044604925031e-16,0.0885361721923715,0.00706217668472742,0,0,NA,NA
"training","P15-T007","cluster",0.271302499679723,0.271302499679723,0,0,2.22044604925031e-16,0.0845327457819814,0.00582609452245575,0,0,NA,NA
"training","P15-T008","respondent",0.459558439982664,0.459558439982664,0,0,2.22044604925031e-16,0.0908512365859889,0.000309984704498056,0,0,NA,NA
"training","P15-T008","cluster",0.459558439982664,0.459558439982664,0,0,2.22044604925031e-16,0.0908512365859889,0.000309984704498056,0,0,NA,NA
"training","P15-T009","respondent",0.0984765061352629,0.0984765061352629,0,0,2.22044604925031e-16,0.122312599751179,0.122312599751179,40,0,NA,NA
"training","P15-T009","cluster",0.0984765061352629,0.0984765061352629,0,0,2.22044604925031e-16,0.122312599751179,0.122312599751179,40,0,NA,NA
"training","P15-T010","respondent",0.0951556561964549,0.0951556561964549,0,0,2.22044604925031e-16,0.0933289301563731,2.25793146417796e-05,0,0,NA,NA
"training","P15-T010","cluster",0.0955855723636964,0.0955855723636964,0,0,2.22044604925031e-16,0.0933461969494152,2.27854393906046e-05,0,0,NA,NA
"training","P15-T011","respondent",0.272850512007853,0.272850512007853,0,0,1.11022302462516e-16,0.0620091283197074,0.0128107652078254,0,0,NA,NA
"training","P15-T011","cluster",0.272850512007853,0.272850512007853,0,0,1.11022302462516e-16,0.0620091283197074,0.0128107652078254,0,0,NA,NA
"training","P15-T012","respondent",0.458404006526258,0.458404006526258,0,0,1.11022302462516e-16,0.0429977383670676,0.00695992947040339,0,0,NA,NA
"training","P15-T012","cluster",0.464736541664763,0.464736541664763,0,0,2.22044604925031e-16,0.042148718817078,0.00938893807723896,0,0,NA,NA
"training","P15-T013","respondent",0.461958091662457,0.461958091662457,0,0,2.22044604925031e-16,0.0362547044658034,1.94463117177274e-05,0,0,NA,NA
"training","P15-T013","cluster",0.461958091662457,0.461958091662457,0,0,2.22044604925031e-16,0.0362547044658034,1.94463117177274e-05,0,0,NA,NA
"training","P15-T014","respondent",0.0949058384111169,0.0949058384111169,0,0,2.22044604925031e-16,0.0885334145838575,0.00238067424627997,0,0,NA,NA
"training","P15-T014","cluster",0.0958528666282845,0.0958528666282845,0,0,2.22044604925031e-16,0.0889842968963942,0.00135402169786458,0,0,NA,NA
"training","P15-T015","respondent",0.272850512007853,0.272850512007853,0,0,2.22044604925031e-16,0.0620091283197074,0.0128107652078257,0,0,NA,NA
"training","P15-T015","cluster",0.272850512007853,0.272850512007853,0,0,2.22044604925031e-16,0.0620091283197074,0.0128107652078257,0,0,NA,NA
"training","P15-T016","respondent",0.257233489511771,0.257233489511771,0,0,1.11022302462516e-16,0.162983494886522,0.162983494886522,40,0,NA,NA
"training","P15-T016","cluster",0.258042456265896,0.258042456265896,0,0,0,0.164009218877522,0.164009218877523,40,0,NA,NA
"training","P15-T017","respondent",0.457656784714734,0.457656784714734,0,0,1.11022302462516e-16,0.0796438820823188,3.68689455993998e-05,0,0,NA,NA
"training","P15-T017","cluster",0.457656784714734,0.457656784714734,0,0,1.11022302462516e-16,0.0796438820823188,3.68689455993998e-05,0,0,NA,NA
"training","P15-T018","respondent",0.100497726307895,0.100497726307895,0,0,2.22044604925031e-16,0.115009115070432,0.000114811151369576,0,0,NA,NA
"training","P15-T018","cluster",0.100497726307895,0.100497726307895,0,0,2.22044604925031e-16,0.115009115070432,0.000114811151369576,0,0,NA,NA
"training","P15-T019","respondent",0.176313748439877,0.176313748439877,0,0,2.22044604925031e-16,0.116823298048041,0.00388521593208341,0,0,NA,NA
"training","P15-T019","cluster",0.176887144352374,0.176887144352374,0,0,2.22044604925031e-16,0.118630943471456,0.00160385737819341,0,0,NA,NA
"training","P15-T020","respondent",0.369070600045603,0.369070600045603,0,0,2.22044604925031e-16,0.0301014648334523,0.0167344876834226,0,0,NA,NA
"training","P15-T020","cluster",0.37597676365677,0.37597676365677,0,0,2.22044604925031e-16,0.039073635484957,0.0138167990711258,0,0,NA,NA
"training","P15-T021","respondent",0.370976578234297,0.370976578234297,0,0,2.22044604925031e-16,0.0508007319225418,2.09217458404243e-05,0,0,NA,NA
"training","P15-T021","cluster",0.370976578234297,0.370976578234297,0,0,2.22044604925031e-16,0.0508007319225418,2.09217458404243e-05,0,0,NA,NA
"training","P15-T022","respondent",0.183308934256587,0.183308934256587,0,0,2.22044604925031e-16,0.122509058098151,0.0010997951768309,0,0,NA,NA
"training","P15-T022","cluster",0.183308934256587,0.183308934256587,0,0,2.22044604925031e-16,0.122509058098151,0.0010997951768309,0,0,NA,NA
"training","P15-T023","respondent",0.470164246247659,0.470164246247659,0,0,1.11022302462516e-16,0.0727179662066785,0.17182604731515,40,0,NA,NA
"training","P15-T023","cluster",0.4732062646914,0.4732062646914,0,0,0,0.0651633796855096,0.182685863979751,40,0,NA,NA
"training","P15-T024","respondent",0.173017639290474,0.173017639290474,0,0,2.22044604925031e-16,0.120138926108532,0.00338664049956705,0,0,NA,NA
"training","P15-T024","cluster",0.176887144352373,0.176887144352373,0,0,1.11022302462516e-16,0.118630943471456,0.00160385737819302,0,0,NA,NA
"validation","P15-V001","respondent",0.159788051541615,0.159788051541615,0,0,0,0.114147623426657,0.00313358375679185,0,0,NA,NA
"validation","P15-V001","cluster",0.159788051541615,0.159788051541615,0,0,0,0.114147623426657,0.00313358375679185,0,0,NA,NA
"validation","P15-V002","respondent",0.347687877960315,0.347687877960315,0,0,2.22044604925031e-16,0.0806099986700995,5.68553854803922e-05,0,0,NA,NA
"validation","P15-V002","cluster",0.347687877960315,0.347687877960315,0,0,2.22044604925031e-16,0.0806099986700995,5.68553854803922e-05,0,0,NA,NA
"validation","P15-V003","respondent",0.48578467705481,0.48578467705481,0,0,0,0.0626295271257239,0.182574964515484,40,0,NA,NA
"validation","P15-V003","cluster",0.497622219478985,0.497622219478985,0,0,0,0.0490291068340577,0.209435894836397,40,0,NA,NA
"validation","P15-V004","respondent",0.531585782175025,0.531585782175025,0,0,2.22044604925031e-16,0.0348729588439026,0.00818368437647868,0,0,NA,NA
"validation","P15-V004","cluster",0.533836105093015,0.533836105093015,0,0,1.11022302462516e-16,0.0344374990084213,0.00725117238147931,0,0,NA,NA
"validation","P15-V005","respondent",0.166694493232626,0.166694493232626,0,0,0,0.0947866513897355,0.0119720201101058,0,0,NA,NA
"validation","P15-V005","cluster",0.166694493232626,0.166694493232626,0,0,0,0.0947866513897355,0.0119720201101058,0,0,NA,NA
"validation","P15-V006","respondent",0.355618579168408,0.355618579168408,0,0,2.22044604925031e-16,0.0561558427883725,3.31180921346041e-05,0,0,NA,NA
"validation","P15-V006","cluster",0.355618579168408,0.355618579168408,0,0,2.22044604925031e-16,0.0561558427883725,3.31180921346041e-05,0,0,NA,NA
"validation","P15-V007","respondent",0.349948418061292,0.349948418061292,0,0,2.22044604925031e-16,0.105261024579513,0.00113849362298113,0,0,NA,NA
"validation","P15-V007","cluster",0.350313757211893,0.350313757211893,0,0,0,0.0979526927028234,0.00117844654335575,0,0,NA,NA
"validation","P15-V008","respondent",0.53785127474794,0.53785127474794,0,0,2.22044604925031e-16,0.0155404871882784,0.0118042819866827,0,0,NA,NA
"validation","P15-V008","cluster",0.53785127474794,0.53785127474794,0,0,2.22044604925031e-16,0.0155404871882784,0.0118042819866827,0,0,NA,NA
"validation","P15-V009","respondent",0.156564646375927,0.156564646375927,0,0,0,0.130295692399785,0.130295692399785,40,0,NA,NA
"validation","P15-V009","cluster",0.156564646375927,0.156564646375927,0,0,0,0.130295692399785,0.130295692399785,40,0,NA,NA
"validation","P15-V010","respondent",0.164162309373166,0.164162309373166,0,0,1.11022302462516e-16,0.11693289004872,3.68246179571208e-05,0,0,NA,NA
"validation","P15-V010","cluster",0.165782369347352,0.165782369347352,0,0,2.22044604925031e-16,0.126085070596923,3.5464903558019e-05,0,0,NA,NA
"validation","P15-V011","respondent",0.350313757211893,0.350313757211893,0,0,3.33066907387547e-16,0.0979526927028927,0.00117844654347282,0,0,NA,NA
"validation","P15-V011","cluster",0.350313757211893,0.350313757211893,0,0,3.33066907387547e-16,0.0979526927028927,0.00117844654347282,0,0,NA,NA
"validation","P15-V012","respondent",0.528156044813176,0.528156044813176,0,0,2.22044604925031e-16,0.020800354086461,0.0120967871789369,0,0,NA,NA
"validation","P15-V012","cluster",0.537851274748745,0.537851274748745,0,0,2.22044604925031e-16,0.0155404871882598,0.0118042819867455,0,0,NA,NA
"validation","P15-V013","respondent",0.533836105093015,0.533836105093015,0,0,1.11022302462516e-16,0.0344374990084213,0.00725117238147931,0,0,NA,NA
"validation","P15-V013","cluster",0.533836105093015,0.533836105093015,0,0,1.11022302462516e-16,0.0344374990084213,0.00725117238147931,0,0,NA,NA
"validation","P15-V014","respondent",0.158199012367866,0.158199012367866,0,0,2.22044604925031e-16,0.113464620740763,0.000796854825768412,0,0,NA,NA
"validation","P15-V014","cluster",0.159788051541614,0.159788051541614,0,0,2.22044604925031e-16,0.114147623426657,0.00313358375679262,0,0,NA,NA
"validation","P15-V015","respondent",0.358162916005652,0.358162916005652,0,0,2.22044604925031e-16,0.0274959363213686,3.31092972633007e-05,0,0,NA,NA
"validation","P15-V015","cluster",0.358162916005652,0.358162916005652,0,0,2.22044604925031e-16,0.0274959363213686,3.31092972633007e-05,0,0,NA,NA
"validation","P15-V016","respondent",0.347195475733711,0.347195475733711,0,0,2.22044604925031e-16,0.0870391376604393,0.00287060398084482,0,0,NA,NA
"validation","P15-V016","cluster",0.350313757211893,0.350313757211893,0,0,0,0.0979526927028234,0.00117844654335575,0,0,NA,NA
"validation","P15-V017","respondent",0.533836105195385,0.533836105195385,0,0,2.22044604925031e-16,0.0344374990083861,0.00725117238202121,0,0,NA,NA
"validation","P15-V017","cluster",0.533836105195385,0.533836105195385,0,0,2.22044604925031e-16,0.0344374990083861,0.00725117238202121,0,0,NA,NA
"validation","P15-V018","respondent",0.166694493232628,0.166694493232628,0,0,2.22044604925031e-16,0.0947866513897356,0.011972020110106,0,0,NA,NA
"validation","P15-V018","cluster",0.166694493232628,0.166694493232628,0,0,2.22044604925031e-16,0.0947866513897356,0.011972020110106,0,0,NA,NA
"confirmation","P16-C001","respondent",0.126147731936958,0.126147731936958,0,0,0,0.096740841202399,0.000784173420999457,0,0,0.12614773193696,1.94289029309402e-15
"confirmation","P16-C001","cluster",0.126147731936958,0.126147731936958,0,0,0,0.096740841202399,0.000784173420999457,0,0,0.12614773193696,1.94289029309402e-15
"confirmation","P16-C002","respondent",0.307277267547999,0.307277267547999,0,0,1.11022302462516e-16,0.0480312839671012,0.0156320540985879,0,0,0.307277267547999,1.11022302462516e-16
"confirmation","P16-C002","cluster",0.307277267547999,0.307277267547999,0,0,1.11022302462516e-16,0.0480312839671012,0.0156320540985879,0,0,0.307277267547999,1.11022302462516e-16
"confirmation","P16-C003","respondent",0.404963893945164,0.404963893945164,0,0,2.22044604925031e-16,0.0852109757811046,9.17103023840293e-05,0,0,0.404963893945164,2.22044604925031e-16
"confirmation","P16-C003","cluster",0.410204391938163,0.410204391938163,0,0,1.11022302462516e-16,0.0693953511932491,8.66320165257006e-05,0,0,0.410204391938165,1.72084568816899e-15
"confirmation","P16-C004","respondent",0.504203249404749,0.504203249404749,0,0,2.22044604925031e-16,0.0335042110913809,0.00940401613755362,0,0,0.504203249404751,2.44249065417534e-15
"confirmation","P16-C004","cluster",0.507275304353807,0.507275304353807,0,0,2.22044604925031e-16,0.0392562087236273,0.00821477291767556,0,0,0.507275304353807,2.22044604925031e-16
"confirmation","P16-C005","respondent",0.355487949072165,0.355487949072165,0,0,0,0.176861006742624,0.176861006742624,40,0,0.355487949072166,9.99200722162641e-16
"confirmation","P16-C005","cluster",0.355487949072165,0.355487949072165,0,0,0,0.176861006742624,0.176861006742624,40,0,0.355487949072166,9.99200722162641e-16
"confirmation","P16-C006","respondent",0.218776650952077,0.218776650952077,0,0,1.11022302462516e-16,0.0747676114333825,0.0139894832172345,0,0,0.218776650952078,1.08246744900953e-15
"confirmation","P16-C006","cluster",0.218776650952077,0.218776650952077,0,0,1.11022302462516e-16,0.0747676114333825,0.0139894832172345,0,0,0.218776650952078,1.08246744900953e-15
"confirmation","P16-C007","respondent",0.306423597847007,0.306423597847007,0,0,2.22044604925031e-16,0.0821755454622331,0.00751269590512305,0,0,0.306423597847008,9.99200722162641e-16
"confirmation","P16-C007","cluster",0.306853078060151,0.306853078060151,0,0,2.22044604925031e-16,0.0771626114011941,0.00819232074850736,0,0,0.306853078060154,2.88657986402541e-15
"confirmation","P16-C008","respondent",0.41302190914978,0.41302190914978,0,0,2.22044604925031e-16,0.0906339022996595,0.00107119603144035,0,0,0.41302190914978,5.55111512312578e-17
"confirmation","P16-C008","cluster",0.41302190914978,0.41302190914978,0,0,2.22044604925031e-16,0.0906339022996595,0.00107119603144035,0,0,0.41302190914978,5.55111512312578e-17
"confirmation","P16-C009","respondent",0.132140140634455,0.132140140634455,0,0,3.33066907387547e-16,0.105897214148129,0.011451637575368,0,0,0.132140140634457,2.1094237467878e-15
"confirmation","P16-C009","cluster",0.132140140634455,0.132140140634455,0,0,3.33066907387547e-16,0.105897214148129,0.011451637575368,0,0,0.132140140634457,2.1094237467878e-15
"confirmation","P16-C010","respondent",0.21788869126013,0.21788869126013,0,0,2.22044604925031e-16,0.0904225226033038,5.28847405671662e-05,0,0,0.21788869126013,2.77555756156289e-16
"confirmation","P16-C010","cluster",0.21788869126013,0.21788869126013,0,0,2.22044604925031e-16,0.0904225226033038,5.28847405671662e-05,0,0,0.21788869126013,2.77555756156289e-16
"confirmation","P16-C011","respondent",0.482789460559563,0.482789460559563,0,0,0,0.166089691120144,0.196185139331172,40,0,0.482789460559569,5.77315972805081e-15
"confirmation","P16-C011","cluster",0.482789460559563,0.482789460559563,0,0,0,0.166089691120144,0.196185139331172,40,0,0.482789460559569,5.77315972805081e-15
"confirmation","P16-C012","respondent",0.364695289546587,0.364695289546587,0,0,2.22044604925031e-16,0.0254141715826692,0.0158242362657431,0,0,0.364695289546588,4.9960036108132e-16
"confirmation","P16-C012","cluster",0.375026987830856,0.375026987830856,0,0,2.22044604925031e-16,0.0350923185807201,0.0164460933605615,0,0,0.375026987830856,0
"confirmation","P16-C013","respondent",0.421479462881949,0.421479462881949,0,0,2.22044604925031e-16,0.0517020603133417,0.00840798920233562,0,0,0.421479462881952,3.44169137633799e-15
"confirmation","P16-C013","cluster",0.421479462881949,0.421479462881949,0,0,2.22044604925031e-16,0.0517020603133417,0.00840798920233562,0,0,0.421479462881952,3.44169137633799e-15
"confirmation","P16-C014","respondent",0.125039264260853,0.125039264260853,0,0,1.11022302462516e-16,0.0950678851778637,0.0030063118638245,0,0,0.125039264260854,1.02695629777827e-15
"confirmation","P16-C014","cluster",0.12614773193696,0.12614773193696,0,0,2.22044604925031e-16,0.0967408412023989,0.00078417342099879,0,0,0.12614773193696,1.38777878078145e-16
"confirmation","P16-C015","respondent",0.307277267547997,0.307277267547997,0,0,2.22044604925031e-16,0.0480312839671013,0.0156320540985876,0,0,0.307277267547999,2.16493489801906e-15
"confirmation","P16-C015","cluster",0.307277267547997,0.307277267547997,0,0,2.22044604925031e-16,0.0480312839671013,0.0156320540985876,0,0,0.307277267547999,2.16493489801906e-15
"confirmation","P16-C016","respondent",0.367500583073248,0.367500583073248,0,0,2.22044604925031e-16,0.0395753219090878,5.35428617262079e-05,0,0,0.367500583073247,1.27675647831893e-15
"confirmation","P16-C016","cluster",0.371441452209804,0.371441452209804,0,0,2.22044604925031e-16,0.0463901962111905,4.92263092543438e-05,0,0,0.371441452209803,6.10622663543836e-16
"confirmation","P16-C017","respondent",0.478464370794741,0.478464370794741,0,0,1.11022302462516e-16,0.186723953849753,0.186723953849753,40,0,0.478464370794743,1.88737914186277e-15
"confirmation","P16-C017","cluster",0.482789460559563,0.482789460559563,0,0,0,0.166089691120144,0.196185139331172,40,0,0.482789460559569,5.77315972805081e-15
"confirmation","P16-C018","respondent",0.211085201598374,0.211085201598374,0,0,2.22044604925031e-16,0.0605256418696425,0.0141689429500194,0,0,0.211085201598372,2.44249065417534e-15
"confirmation","P16-C018","cluster",0.218776650952077,0.218776650952077,0,0,1.11022302462516e-16,0.0747676114333825,0.0139894832172345,0,0,0.218776650952078,1.08246744900953e-15
"confirmation","P16-C019","respondent",0.505190686027388,0.505190686027388,0,0,2.22044604925031e-16,0.0346737129592823,0.0091609532802124,0,0,0.505190686027389,1.11022302462516e-15
"confirmation","P16-C019","cluster",0.507275304358388,0.507275304358388,0,0,2.22044604925031e-16,0.0392562087246797,0.00821477291769233,0,0,0.507275304358389,7.7715611723761e-16
"confirmation","P16-C020","respondent",0.210701834385219,0.210701834385219,0,0,2.22044604925031e-16,0.11784154981254,0.00110169341282607,0,0,0.210701834385219,4.16333634234434e-16
"confirmation","P16-C020","cluster",0.210701834385219,0.210701834385219,0,0,2.22044604925031e-16,0.11784154981254,0.00110169341282607,0,0,0.210701834385219,4.16333634234434e-16
"confirmation","P16-C021","respondent",0.373219259022195,0.373219259022195,0,0,3.33066907387547e-16,0.0263020050310334,4.92073352708067e-05,0,0,0.373219259022198,2.88657986402541e-15
"confirmation","P16-C021","cluster",0.373219259022195,0.373219259022195,0,0,3.33066907387547e-16,0.0263020050310334,4.92073352708067e-05,0,0,0.373219259022198,2.88657986402541e-15
"confirmation","P16-C022","respondent",0.305915314470652,0.305915314470652,0,0,2.22044604925031e-16,0.0839097503379715,0.00727713944792799,0,0,0.305915314470652,0
"confirmation","P16-C022","cluster",0.306853078060155,0.306853078060155,0,0,2.22044604925031e-16,0.0771626114011943,0.00819232074850726,0,0,0.306853078060153,1.77635683940025e-15
"confirmation","P16-C023","respondent",0.401015877000832,0.401015877000832,0,0,1.11022302462516e-16,0.184779430713697,0.184779430713697,40,0,0.401015877000833,1.4432899320127e-15
"confirmation","P16-C023","cluster",0.401015877000832,0.401015877000832,0,0,1.11022302462516e-16,0.184779430713697,0.184779430713697,40,0,0.401015877000833,1.4432899320127e-15
"confirmation","P16-C024","respondent",0.132140140634455,0.132140140634455,0,0,2.22044604925031e-16,0.105897214148129,0.0114516375753684,0,0,0.132140140634457,1.74860126378462e-15
"confirmation","P16-C024","cluster",0.132140140634455,0.132140140634455,0,0,2.22044604925031e-16,0.105897214148129,0.0114516375753684,0,0,0.132140140634457,1.74860126378462e-15
