"key","value","source"
"p16_icc_max","0.38","design"
"p15_gamma_grid_n","6","development+validation artifacts"
"p15_eligible_n","2","development+validation artifacts"
"p15_sel_train_resp_cov","0.960714285714286","development+validation artifacts"
"p15_sel_train_resp_len","0.0954770414618367","development+validation artifacts"
"p15_alt_train_resp_len","0.101864297587634","development+validation artifacts"
"p15_sel_vs_alt_len_pct","6.27035799299782","development+validation artifacts"
"p15_val_resp_cov","0.971759259259259","development+validation artifacts"
"p15_val_eqcl_cov","0.972222222222222","development+validation artifacts"
"p15_val_raw_resp_cov","0.994907407407407","development+validation artifacts"
"p15_val_raw_eqcl_cov","0.996759259259259","development+validation artifacts"
"p14_resp_lane_cov_min","0.991666666666667","pilot aggregate"
"p14_resp_lane_cov_max","0.997222222222222","pilot aggregate"
"p14_hbb_lane_cov_min","0.988888888888889","pilot aggregate"
"p14_hbb_lane_cov_max","1","pilot aggregate"
"p14_raw_hbb_cov_all","0.994444444444444","pilot aggregate"
"p14_iid_cov_all","0.917592592592593","pilot aggregate"
"p14_onestage_cov_all","0.912962962962963","pilot aggregate"
"swmdk_n","639","empirical-swmdk/phase17"
"swmdk_G","30","empirical-swmdk/phase17"
"swmdk_size_min","5","empirical-swmdk/phase17"
"swmdk_size_max","29","empirical-swmdk/phase17"
"swmdk_min_cat_count","2","empirical-swmdk/phase17"
"swmdk_min_cat_mass","0.00312989045383412","empirical-swmdk/phase17"
"swmdk_width_mult","0.726138721247417","empirical-swmdk/phase17"
"swmdk_split_half_max","0.000875327129681303","empirical-swmdk/phase17"
"swmdk_invalid_max","0","empirical-swmdk/phase17"
"teacher_icc","0.169","empirical-swmdk/phase17"
"teacher_resp_H","0.619919910686637","empirical-swmdk/phase17"
"teacher_resp_lo","0.572846061948732","empirical-swmdk/phase17"
"teacher_resp_hi","0.669202776257687","empirical-swmdk/phase17"
"teacher_eqcl_H","0.622319152142876","empirical-swmdk/phase17"
"teacher_target_diff","0.00239924145623871","empirical-swmdk/phase17"
"classmate_icc","0.183","empirical-swmdk/phase17"
"classmate_resp_H","0.592308560081349","empirical-swmdk/phase17"
"classmate_resp_lo","0.543055771947031","empirical-swmdk/phase17"
"classmate_resp_hi","0.640839138707681","empirical-swmdk/phase17"
"swmdk_teacher_respondent_H","0.619919910686637","empirical-swmdk/phase17"
"swmdk_teacher_respondent_lo","0.572846061948732","empirical-swmdk/phase17"
"swmdk_teacher_respondent_hi","0.669202776257687","empirical-swmdk/phase17"
"swmdk_teacher_respondent_len","0.0963567143089552","empirical-swmdk/phase17"
"swmdk_teacher_equal_cluster_H","0.622319152142876","empirical-swmdk/phase17"
"swmdk_teacher_equal_cluster_lo","0.574284671698886","empirical-swmdk/phase17"
"swmdk_teacher_equal_cluster_hi","0.669839481460374","empirical-swmdk/phase17"
"swmdk_teacher_equal_cluster_len","0.0955548097614885","empirical-swmdk/phase17"
"swmdk_classmate_respondent_H","0.592308560081349","empirical-swmdk/phase17"
"swmdk_classmate_respondent_lo","0.543055771947031","empirical-swmdk/phase17"
"swmdk_classmate_respondent_hi","0.640839138707681","empirical-swmdk/phase17"
"swmdk_classmate_respondent_len","0.0977833667606496","empirical-swmdk/phase17"
"swmdk_classmate_equal_cluster_H","0.582943580481479","empirical-swmdk/phase17"
"swmdk_classmate_equal_cluster_lo","0.534723913209442","empirical-swmdk/phase17"
"swmdk_classmate_equal_cluster_hi","0.634478839596969","empirical-swmdk/phase17"
"swmdk_classmate_equal_cluster_len","0.0997549263875275","empirical-swmdk/phase17"
"swmdk_draws_per_task","99999","empirical-swmdk/phase17"
"swmdk_tasks","12","empirical-swmdk/phase17"
"swmdk_total_draws","1199988","empirical-swmdk/phase17"
"swmdk_teacher_delta_len","0.10038634676283","empirical-swmdk/phase17"
"swmdk_classmate_delta_len","0.0992312978792396","empirical-swmdk/phase17"
"swmdk_teacher_raw_len","0.132697391682165","empirical-swmdk/phase17"
"swmdk_teacher_iid_len","0.0802930519223655","empirical-swmdk/phase17"
"swmdk_classmate_iid_len","0.087019416438125","empirical-swmdk/phase17"
"swmdk_sel_vs_delta_teacher_pct","95.9858759843158","empirical-swmdk/phase17"
"swmdk_sel_vs_delta_classmate_pct","98.540852382731","empirical-swmdk/phase17"
"swmdk_teacher_resp_exact_knots","2","empirical-swmdk/phase17"
"swmdk_teacher_eqcl_exact_knots","0","empirical-swmdk/phase17"
"swmdk_classmate_eqcl_target_diff","-0.0093649795998697","empirical-swmdk/phase17"
"g17_total","14","empirical-swmdk/phase17"
"g17_passed","14","empirical-swmdk/phase17"
"pkg_test_files","24","phase18-production"
"pkg_test_blocks","77","phase18-production"
"pkg_expectations","791","phase18-production"
"pkg_lp_fixtures","25","phase18-production"
"pkg_lp_maxdiff","0.0000000000014459544672718","phase18-production"
"g18a_gate_passed","13","phase18-review"
"g18a_crosswalks","3","phase18-review"
