"inventory_class","mutation_policy","reuse_policy","project_relative_path","exists","size_bytes","sha256"
"frozen_binary_evidence","IMMUTABLE","BENCHMARK_OR_CITATION_ONLY","codebase/research/v3/confirmatory-restart/evaluation-runs/fresh-untouched-test-v1/final/result-lock-v1.json",TRUE,1268,"72b45be3a4946790f0eebb0f8ac59bbcb6f3f0db02c3fcbfb74d6d1d0dfa1154"
"frozen_binary_evidence","IMMUTABLE","BENCHMARK_OR_CITATION_ONLY","codebase/research/v3/empirical-ppsrs/artifacts/ppsrs-empirical-analysis-receipt-v1.json",TRUE,1901,"020fd47a613d3151a08144c9076629c7ed05ebbe7439fe1331bd00d034c74629"
"frozen_binary_evidence","IMMUTABLE","BENCHMARK_OR_CITATION_ONLY","codebase/research/v3/manuscript-positioning/artifacts/paper-a-journal-positioning-decision-v1.json",TRUE,2106,"23898d5bbd5c4abd416d8f7359572c14c28e8bd8d873f3b30576ddb7f818a379"
"frozen_binary_evidence","IMMUTABLE","BENCHMARK_OR_CITATION_ONLY","codebase/research/v3/package-integration/artifacts/phase11-application-ready-receipt-v1.json",TRUE,1183,"aabd53e238ad032bffec24b78fc5106de8b498c6619697d7a3ec3ba1690d8db5"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/.Rbuildignore",TRUE,116,"59e59e3d92bbb37cc9cb3c24094960328b71ba99f2ab88d568919ae4781bf8f1"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/DESCRIPTION",TRUE,1082,"bbd609bb2d9245d2b5e739bc0d8bbcb1f23c89e7c2ffb3ce806f34ea4a2a1406"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/LICENSE",TRUE,40,"76cb54ffe112de417da9a0482a516a98d6908eb0ad2d05c5562ea8daacbbc63a"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/man/bayes_mokken_h.Rd",TRUE,2749,"0201ee9fa3e388fb8b198efb7a54eeb24850804068316120184986b30a645480"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/man/bayesmokken-package.Rd",TRUE,832,"010dacb2227dce9d9a98a78ed9252807b5116ec6c46eb1b073eb949cbd8e405b"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/man/bb_mokken_h.Rd",TRUE,3057,"865cd9446d721522a116f8cacc29c827efdbe413532a31ac20ac7a4109b382a0"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/man/mokken_h.Rd",TRUE,2055,"c68f70df5998ab791594c2347919403d634a6c0cb1286f3a434a6b78660a9177"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/NAMESPACE",TRUE,321,"e10dd2c60617dc8565d2c40f2d018715457e44ded3bf2ec455b24807e7fbf75a"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/NEWS.md",TRUE,897,"f80b88299acc14417c45eb3719d74c993cb1fa473f89f49ce1bbc134decd20c1"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/bb-interval.R",TRUE,6372,"fa80552f7954eaa0ebecd6af86cad82dc5df7232bc228fb8bc30cb957d980fd9"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/bb-mokken-h.R",TRUE,6438,"545c2a0413f5688ef261420f8f487c5fe0871cb7d4dc8f70dad66c7a35de0511"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/bb-respondent.R",TRUE,5954,"b39e0db839c159a35ef5f27315acf8aed199ebb513a2ff7971089b719aadcc3e"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/bb-summary.R",TRUE,1418,"4753707125a3e2e06b31b52e3d2fef0748f051459f087e0fb7fe835c66a8e648"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/bb-weights.R",TRUE,1604,"df26bd6797f133ba82eec567ce74d03a873e6a8f347a9a9749fd6422379f5b75"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/class-bb-h.R",TRUE,1013,"9fb8216e5c5111d40ed322e4038149c4ddf20db6eb389cc47733c31562ef3536"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/class-empirical-h.R",TRUE,1936,"233b08e609182e209264b1cbe8010621b43dc29a2bd5ab409a5da7f036699ce1"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/complete-scale.R",TRUE,2056,"a462d749baf13cc78a8cab46638033d1ad13e3d7e592146f437d8a18d4a0b98e"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/group-patterns.R",TRUE,2135,"e7a299a3d0116a6a4196c79b74a3134db69c021466e293aab470c85de384860e"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/h-aggregate.R",TRUE,1358,"cc4c0f5e24db9a32bcdad472823f47df6f6394daed3be60d0d34b8318a97e703"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/h-pair.R",TRUE,468,"dfeeffde11942bbb9f792d2d6446266fcdc6e12f703b8ac658ae618b57d0af0b"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/max-covariance-binary.R",TRUE,2003,"665624b23a6f1d2757735e4890f4d75dce0368a3d16afb1c9719b6b96a4d20cf"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/mc-diagnostics.R",TRUE,2956,"095c2511f9fa32a39e73fe7fdc0da0eba1f9018e87649e11dca61eeb065d55da"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/mokken-h.R",TRUE,4316,"902f9b86e5a7fbafa4223ee53d6e94bfbce5d93641db14ce356e240ce8e1bfde"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/package-doc.R",TRUE,512,"9813e514930ad4a66478336200561519cca50f86a5581de7ed7f60b5d4e8307f"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/pair-state.R",TRUE,969,"1cfc3e6bacbd76a96c7e04806407b37b0a5a2d0c7091f80bcf8403bb9ef8a08e"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/print-bb-h.R",TRUE,1281,"d663aa769b45ff55dc931f75c4a8d5b1c57feb29a7588b40dca12cb006943c37"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/print-empirical-h.R",TRUE,1215,"4860885f2b0a413beba4ea485368a963c491de5c9a1b55518e3a0c31e7e8a9c6"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/rng-streams.R",TRUE,1295,"762e29184169ba3e6b5744ccfb70642b0e35ec2d0f42fe5a125c87b25be91aea"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/validate-data.R",TRUE,4669,"4b8c40b2b61bdbcd8ddc16478f8d2aff2fb8abcd8d3895de4bd396b63129c588"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/weighted-covariance.R",TRUE,318,"b66778228c3d933363b8fc6b8f1642e2e8d6250e0474326d1bad55acb8084a7f"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/R/weighted-masses.R",TRUE,2011,"0c039608193d302fb36287f243c5e11b763624ea826f0299850b36f20e545532"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat.R",TRUE,66,"1a251dfe1f7383d5916a024f3a2eec44d4b0861b120eb91444b8c7c985ae2a26"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/fixtures/binary-hand/expected.csv",TRUE,552,"23bf5e2df6230b27c61e43aef4f4cf57834afb633e12508e3357f352815484bd"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/fixtures/missingness/complete-scale.csv",TRUE,80,"2692bf00271d03e1466b20c620bbe92d616e7045c272c02d10bc62f2da39d9d5"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/fixtures/oracles/binary-random-oracle.rds",TRUE,13930,"b5b717b7d8ec2d481795ecf0dddbb5ff1f6a02d92e4e02fd863556543b769645"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-bb-engine-binary.R",TRUE,2116,"1bfbf4cb82551cedebbfbdad5b1bd51c9996315c9fbdd2c73c3f2bc97df497e4"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-bb-summaries.R",TRUE,2207,"b7c34f117040aec54b414c4752a384e51a71d3d0106a64bb36abba8dfeb1703f"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-bb-vectorized-reference.R",TRUE,1436,"ad0731f81affd6bb0fb435e89ce573789358af62dc3aaeab233e75648b972b97"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-binary-cmax.R",TRUE,723,"5a11a11781348b1cb2b0fac53aa66b7e72a1600157a0c8545a214db41c98681d"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-binary-hand-fixtures.R",TRUE,1844,"f3fc1e9fb1f0b3479c5a6d804f5b31a3de448d35c4b64cb7539782b817c6c7bd"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-complete-scale.R",TRUE,1616,"461dead062b169a94429dc133d3d602b3b9b966fbbe410eb325425571f256d29"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-dirichlet-rng.R",TRUE,1348,"71ff937db85920234914c208118a22a34447ef76a22354c0fdd8a6e6b2c5de23"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-empirical-class-boundaries.R",TRUE,1852,"23795b465d0d0b1eee67d55d398740d590e32398861d317911d6f200891ff938"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-h-aggregate.R",TRUE,1389,"817bc1b6415e219fb807542ed59a03ab16b608e815661d04af67c842991627ea"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-h-pair.R",TRUE,1242,"e9f3a3b15d0fede29551f3c5f36c3d458fabdf869161e453abf74a4d81dd9af8"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-input-validation.R",TRUE,2328,"7fa9a8f8612e68deb8f07a05009fc308264378aab674e5ead1a063fca70e32a8"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-mc-precision.R",TRUE,1509,"13217dd7b2d59de557d5f5ad60ddfc4b16079b0fbea6879e6866b6b92b0a298c"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-mokken-binary-oracle.R",TRUE,1243,"b75f508d9d0fb1e74e0af146781d0109b8a7c026ea5bef84e30103e151aabaf4"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-negative-formula-fixtures.R",TRUE,2382,"d040f0a4f32df9fb622f77d8def4c931b16106d504217a5c4ebe66b59b43f76e"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-pattern-grouping-identity.R",TRUE,2216,"9e4aaa6db1da544710a821512d987b467b125305a090bb12f8f88a741b60b440"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-public-api-bb-binary.R",TRUE,2612,"5e941c4e93f9c0e34afb53248225a3df16e78647df5aed91b8c0c69927c4ad08"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-public-api-deterministic.R",TRUE,1208,"d39daa833d51fb6ac8b46f1273772f4b46b7785aa87a27bdaca1afde1adf4f4b"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-rng-determinism.R",TRUE,2155,"fcf5834be659b2c3ff3d465e0a6bad3dce4cb659a0eed6f1e31e83cf4990beb5"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-weighted-covariance.R",TRUE,887,"941c23645b4c4a2aaaad01645368f1ce2b25d7bbdd806b5847837eb7f8495213"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/tests/testthat/test-weighted-masses.R",TRUE,923,"fc8d2036e52948e2bcc0102620a7b41a1d44bde45a01d8a8a443b1b60b7a10b8"
"frozen_binary_package_source","NO_V4_MUTATION","REGRESSION_FIXTURE_OR_EXPLICIT_PORT_ONLY","codebase/bayesmokken/vignettes/calibrated-fixed-scale.Rmd",TRUE,2987,"26062650df89cb365f600b4781f18f8a2d47eb02f5eced9d39ec718cbabbab56"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/fixtures/lp-hand-values.csv",TRUE,481,"396a1f765a82440b2e12eb1904f828401c18d7f579a49abc903320629df1b625"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/fixtures/tie-unused-cases.yml",TRUE,1283,"d0d84b0fca4ccb17dbd8da89396ab2f1939747a6475ea2c17f3686bbc7a505ff"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/fixtures/transport-counterexamples.yml",TRUE,1563,"3ed356ae1f8159f64cf4b5b53f204637fd2b96ce1f910ee26d2ed5003c1ae90e"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/reports/exhaustive-grid.html",TRUE,1189126,"009f0843dae81be72f859b88b642da271b77b64408cc8d214666230670cd8dbc"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/reports/exhaustive-grid.qmd",TRUE,2388,"8060e20092b320a08636c44cdc5de53b6979752d74d40ca4494054c0cefccab7"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/results/exhaustive-grid-failures.csv",TRUE,207,"7c208e875b4ec769ce8305c7971331c50b6e465893863183fa2125096f1b6794"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/results/exhaustive-grid-summary.csv",TRUE,2559,"7d7f54633f45652f527bcefa281e4032987f45cc9a32ed1a763863ee96fb9dbc"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/run-exhaustive-grid.R",TRUE,4234,"fd46072af31218afd6f3a60b2cbc58e0f6ccddcc236fe14efbc6af67fb08c54c"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/solve-transport-lp.R",TRUE,2873,"b62d7c9fa5c92adea57ac6cd6d75339a1ea3bccacf19e055fc439163a869c4e1"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/spec.yml",TRUE,1427,"412bbb4a495a8ccdf390481b013ee6439ffe9b8e911bb42339d35a9c1c9e1c59"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/tests/test-lp-feasibility.R",TRUE,2322,"bc4744bdd23c6be98fe80ed12242d5d7c766fdfaff8066855b76702371ac78b4"
"independent_transport_oracle","READ_ONLY","CALL_OR_COPY_EXPLICITLY_WITH_PROVENANCE","codebase/oracles/transport-lp/two-pointer-reference.R",TRUE,2311,"aa4bb5110a5aa1346f6b6f410321c060fceb404ebdaea6554f5b496b6946c9ec"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-estimand-contract-v1.json",TRUE,864,"5416fd91c5c0db800fcfca6c4ead879505b9e4d6dc439642b462bff00567df40"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-estimator-concordance-v1.csv",TRUE,474,"03e11cf8c178ab29a09ce8c4cb1ccb91aa7900d6991b7dda00b0e3fa9f767d8d"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-pilot-design-v1.csv",TRUE,484,"e7989d9d81463bb134e35dc2f545a2504dee86b24f70202edef9cd6e8a701f43"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-pilot-population-knot-diagnostics-v1.csv",TRUE,2218,"720e4ab0023da01993ce5c43bb2dd298f7abaae9fdecb837f50aa3298bdce2e3"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-pilot-replications-v1.csv",TRUE,279556,"cf6f7bcbac629ce5f41badfd35efa4c6b060a7d35ab80cf2b5e1eaba7823f702"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-pilot-summary-v1.csv",TRUE,1948,"99f64ce5dcd879ebb8b84e6cad95f847a1ffefd31a8c604ab8379cbfa5c718c7"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-pilot-width-scaling-v1.csv",TRUE,292,"26c13b09931617efda56bedaf28243c57ed1fbf07b4a7ee692441b6ae971db11"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-theory-directional-diagnostics-v1.csv",TRUE,960,"667651ea89a17d27eba24d57d1749131eefb8a3975598e2ac0c0efc367148ddd"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/ordinal-theory-transport-contract-v1.json",TRUE,1586,"fbc0c3eb6df9e5802584694253f27c8a00f9d52bdfb9f9e0f654487908636185"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/phase13-artifact-manifest-v1.csv",TRUE,1885,"98dedf9a2dcbbd66d1544513924da5d3306ea5421c3eccf117d6780e35d0e611"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/phase13-feasibility-gate-v1.csv",TRUE,2058,"7323d837ad1760266a0b01f11957bb5b2ef5e7b7ff9f7f166e2b52e825a14700"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/phase13-feasibility-receipt-v1.json",TRUE,2473,"c92654cf4b8c1d606ebe779163afd035e2f851e5a2737d09e9aa5cf7ed16866a"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/phase13-validation-checks-v1.csv",TRUE,326,"70250a38bcff09133cdbf455b2633aa6cf47a0a506b0b74d91c6faa7e1b1a5dc"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/swmdk-data-quality-profile-v1.csv",TRUE,752,"054a7fbbd43f00058a36c70254fc2d75c60cbcbbc8ff5dceb4e3eb2101385573"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/swmdk-eligibility-checks-v1.csv",TRUE,1476,"cf844388510fb6381293e242072dee06897854cce9faa1e9a178e175131db67e"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/swmdk-eligibility-receipt-v1.json",TRUE,950,"e1bb10f74ef386b8fcc15c9342fad08b9f1508595458bfba2647b5f76c16d270"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/swmdk-item-category-profile-v1.csv",TRUE,1798,"d78aa5b8512b7b204b008d19df646bbfbef1812e2e0d4006e7cee1002804b33d"
"phase13_nonproduction_baseline","READ_ONLY","PORT_EXPLICITLY_INTO_V4_WITH_REGRESSION_TESTS","codebase/research/v3/ordinal-extension-feasibility/artifacts/swmdk-knot-diagnostics-v1.csv",TRUE,1458,"b91e166699e600d3c58207bdb745fe081ea181264e59d3a5565b17459d53b8fe"
